additionalfeatures:pcmClassification:1:pcmClassification:1:smartphonesaf:pcmClassification:1,MP000000000243635,pcmClassification/1/smartphonesaf.additionalfeatures,,1,"string,2.8 aperture\, HDR"
memorytablet:pcmClassification:1:pcmClassification:1:smartphonesms:pcmClassification:1,MP000000000243635,pcmClassification/1/smartphonesms.memorytablet,,4,"enum,pcmClassification,1,hyphen"
displayfeatures:pcmClassification:1:pcmClassification:1:smartphonesdf:pcmClassification:1,MP000000000243635,pcmClassification/1/smartphonesdf.displayfeatures,,1,"string,4.5 inches On-cell display\, FWVGA\, 854 x 480 Pixels"
feature4:pcmClassification:1:pcmClassification:1:electronicsfeature3:pcmClassification:1,MP000000000243635,pcmClassification/1/electronicsfeature3.feature4,,1,"string,Battery Capacity: 2000 mAh"
flash:pcmClassification:1:pcmClassification:1:smartphonesca:pcmClassification:1,MP000000000243635,pcmClassification/1/smartphonesca.flash,,4,"enum,pcmClassification,1,dualledflash"
operatingfrequency:pcmClassification:1:pcmClassification:1:smartphonestf:pcmClassification:1,MP000000000243635,pcmClassification/1/smartphonestf.operatingfrequency,,4,"enum,pcmClassification,1,gsmslashwcdma90018002100"
feature3:pcmClassification:1:pcmClassification:1:electronicsfeature2:pcmClassification:1,MP000000000243635,pcmClassification/1/electronicsfeature2.feature3,,1,"string,5 MP Rear Camera & 5 MP Front Camera"
heightproduct:pcmClassification:1:pcmClassification:1:electronicsdm:pcmClassification:1,MP000000000243635,pcmClassification/1/electronicsdm.heightproduct,,3,"number,5.35"
depthproduct:pcmClassification:1:pcmClassification:1:electronicsdm:pcmClassification:1,MP000000000243635,pcmClassification/1/electronicsdm.depthproduct,,3,"number,0.39"
widthproduct:pcmClassification:1:pcmClassification:1:electronicsdm:pcmClassification:1,MP000000000243635,pcmClassification/1/electronicsdm.widthproduct,,3,"number,2.63"
operatingfrequency:pcmClassification:1:pcmClassification:1:smartphonestf:pcmClassification:1,MP000000000060053,pcmClassification/1/smartphonestf.operatingfrequency,,4,"enum,pcmClassification,1,operatingfrequencygsmumtslte"
memorysmartphone:pcmClassification:1:pcmClassification:1:smartphonesms:pcmClassification:1,MP000000000060053,pcmClassification/1/smartphonesms.memorysmartphone,,4,"enum,pcmClassification,1,memorysmartphone64gb"
primarycamera:pcmClassification:1:pcmClassification:1:smartphonesca:pcmClassification:1,MP000000000060053,pcmClassification/1/smartphonesca.primarycamera,,4,"enum,pcmClassification,1,12mp"
multimedia:pcmClassification:1:pcmClassification:1:smartphonesmm:pcmClassification:1,MP000000000060053,pcmClassification/1/smartphonesmm.multimedia,,4,"enum,pcmClassification,1,yes"
ram:pcmClassification:1:pcmClassification:1:smartphonesms:pcmClassification:1,MP000000000060053,pcmClassification/1/smartphonesms.ram,,4,"enum,pcmClassification,1,2gb"
simsizesmartphones:pcmClassification:1:pcmClassification:1:smartphonesgf3:pcmClassification:1,MP000000000060053,pcmClassification/1/smartphonesgf3.simsizesmartphones,,4,"enum,pcmClassification,1,nano"
screensizesmartphone:pcmClassification:1:pcmClassification:1:smartphonesdf:pcmClassification:1,MP000000000060053,pcmClassification/1/smartphonesdf.screensizesmartphone,,4,"enum,pcmClassification,1,5d5inches"
weight:pcmClassification:1:pcmClassification:1:electronicsdm:pcmClassification:1,MP000000000060053,pcmClassification/1/electronicsdm.weight,,3,"number,192"
memorytablet:pcmClassification:1:pcmClassification:1:smartphonesms:pcmClassification:1,MP000000000060053,pcmClassification/1/smartphonesms.memorytablet,,4,"enum,pcmClassification,1,hyphen"
processorsmartphone:pcmClassification:1:pcmClassification:1:smartphonesgf3:pcmClassification:1,MP000000000060053,pcmClassification/1/smartphonesgf3.processorsmartphone,,4,"enum,pcmClassification,1,processorsmartphonedualcore1p84ghzapplea9"
displayfeatures:pcmClassification:1:pcmClassification:1:smartphonesdf:pcmClassification:1,MP000000000060053,pcmClassification/1/smartphonesdf.displayfeatures,,1,"string,5.5-inch Retina HD display with 3D touch"
frontcamera:pcmClassification:1:pcmClassification:1:smartphonesca:pcmClassification:1,MP000000000060053,pcmClassification/1/smartphonesca.frontcamera,,4,"enum,pcmClassification,1,frontcamera5mpfacetimehdcamera"
modelnumber:pcmClassification:1:pcmClassification:1:electronicsmodelnumber:pcmClassification:1,MP000000000060053,pcmClassification/1/electronicsmodelnumber.modelnumber,,1,"string,1PMKU82HN/A"
feature2:pcmClassification:1:pcmClassification:1:electronicsfeature1:pcmClassification:1,MP000000000060053,pcmClassification/1/electronicsfeature1.feature2,,1,"string,5.5-inch with 1920x1080 resolution"
colorelectronics:pcmClassification:1:pcmClassification:1:smartphonesgf:pcmClassification:1,MP000000000060053,pcmClassification/1/smartphonesgf.colorelectronics,,4,"enum,pcmClassification,1,gold"
performancefeatures:pcmClassification:1:pcmClassification:1:electronicstf:pcmClassification:1,MP000000000060053,pcmClassification/1/electronicstf.performancefeatures,,1,"string,M8 motion coprocessor\, A8 chip with 64-bit architecture"
simtype:pcmClassification:1:pcmClassification:1:simtypecc:pcmClassification:1,MP000000000060053,pcmClassification/1/simtypecc.simtype,,4,"enum,pcmClassification,1,singlesimgsm"
operatingsystemsmartphones:pcmClassification:1:pcmClassification:1:smartphonesgf3:pcmClassification:1,MP000000000060053,pcmClassification/1/smartphonesgf3.operatingsystemsmartphones,,4,"enum,pcmClassification,1,operatingsystemsmartphonesios9"
colorfreetextelectronics:pcmClassification:1:pcmClassification:1:electronicscolorfreetext:pcmClassification:1,MP000000000060053,pcmClassification/1/electronicscolorfreetext.colorfreetextelectronics,,1,"string,Gold"
