$productCatalog=mplProductCatalog
$catalogVersion=catalogversion(catalog(id[default=$productCatalog]),version[default='Staged'])[unique=true,default=$productCatalog:Staged]
$catalogVersionOnline=catalogversion(catalog(id[default=$productCatalog]),version[default='Online'])[unique=true,default=$productCatalog:Online]
INSERT_UPDATE BuyBox;product(code,$catalogVersion);price;sellerArticleSKU[unique=true];mrp;specialPrice;available;weightage;sellerId;sellerName;sellerType;sellerStartDate[dateformat=yyyyMMddHHmmss];sellerEndDate[dateformat=yyyyMMddHHmmss]

;MP000000000595711;12000;123651Tanishq22000600210  ;1250 ;1200  ;1  ;18 ;123651;Tanishq;WHOLESELLER;20161214171212;20171214171212
;MP000000000595711;12000 ;123651Tanishq22000600211  ;1250 ;12000 ;1  ;18 ;123651;Tanishq;WHOLESELLER;20161214171212;20171214171212
;MP000000000595711;13000 ;123651Tanishq22000600212  ;1350 ;13000 ;1  ;18 ;123651;Tanishq;WHOLESELLER;20161214171212;20171214171212
;MP000000000595712;15000 ;123651Tanishq22000600220  ;1600 ;15000 ;1  ;18 ;123651;Tanishq;WHOLESELLER;20161214171212;20171214171212
;MP000000000595712;16000 ;123651Tanishq22000600221  ;1700 ;16000 ;1  ;18 ;123651;Tanishq;WHOLESELLER;20161214171212;20171214171212
;MP000000000595712;17000 ;123651Tanishq22000600222  ;1800 ;17000 ;1  ;18 ;123651;Tanishq;WHOLESELLER;20161214171212;20171214171212
;MP000000000595713;18000 ;123651Tanishq22000600230  ;1900 ;18000 ;1  ;18 ;123651;Tanishq;WHOLESELLER;20161214171212;20171214171212
;MP000000000595713;18500 ;123651Tanishq22000600231  ;1950 ;18500 ;1  ;18 ;123651;Tanishq;WHOLESELLER;20161214171212;20171214171212
;MP000000000595713;19000 ;123651Tanishq22000600232  ;2000 ;19000 ;1  ;18 ;123651;Tanishq;WHOLESELLER;20161214171212;20171214171212
;MP000000000595714;19500 ;123652Anjali22000600240   ;2100 ;19500 ;1  ;18 ;123652;Anjali;WHOLESELLER;20161214171212;20171214171212
;MP000000000595714;20000 ;123652Anjali22000600241   ;2150 ;20000 ;1  ;18 ;123652;Anjali;WHOLESELLER;20161214171212;20171214171212
;MP000000000595714;20500 ;123652Anjali22000600242   ;2200 ;20500 ;1  ;18 ;123652;Anjali;WHOLESELLER;20161214171212;20171214171212
;MP000000000595715;21000 ;123652Anjali22000600250   ;2300 ;21000 ;1  ;18 ;123652;Anjali;WHOLESELLER;20161214171212;20171214171212
;MP000000000595715;21500 ;123652Anjali22000600251   ;2350 ;21500 ;1  ;18 ;123652;Anjali;WHOLESELLER;20161214171212;20171214171212
;MP000000000595715;22000 ;123652Anjali22000600252   ;2400 ;22000 ;1  ;18 ;123652;Anjali;WHOLESELLER;20161214171212;20171214171212
;MP000000000595716;22500 ;123652Anjali22000600260   ;2500 ;22500 ;1  ;18 ;123652;Anjali;WHOLESELLER;20161214171212;20171214171212
;MP000000000595716;23000 ;123652Anjali22000600261   ;2550 ;23000 ;1  ;18 ;123652;Anjali;WHOLESELLER;20161214171212;20171214171212
