#JewelleryPriceRow																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
#ProductCode	Ussid[unique=true]	Price	mrp	HomeDelivery	ExpressDelivery	baseMetalPrice1	baseMetalPrice2	baseMetalPrice3	baseMetalPrice4	gemStonePrice1	gemStonePrice2	gemStonePrice3	gemStonePrice4	gemStonePrice5	gemStonePrice6	gemStonePrice7	gemStonePrice8	gemStonePrice9	gemStonePrice10	diamondPrice1	diamondPrice2	diamondPrice3	diamondPrice4	diamondPrice5	diamondPrice6	diamondPrice7	baseMetalRate1	baseMetalRate2	baseMetalRate3	baseMetalRate4	gemStoneRate1	gemStoneRate2	gemStoneRate3	gemStoneRate4	gemStoneRate5	gemStoneRate6	gemStoneRate7	gemStoneRate8	gemStoneRate9	gemStoneRate10	diamondRate1	diamondRate2	diamondRate3	diamondRate4	diamondRate5	diamondRate6	diamondRate7	makingCharge	wastageTax																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
MP000000000595711	123651Tanishq22000600210	1200	1250			200				560										100							4500				8900										12000							100	120																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
MP000000000595711	123651Tanishq22000600211	12000	12500			2000				5600										1000							4500				8900										12000							101	121																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
MP000000000595711	123651Tanishq22000600212	13000	13500			2500				5650										1500							4500				8900										12000							102	122																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
MP000000000595712	123651Tanishq22000600220	15000	16000			2000				5000										4500							2500				10000										12345							103	123																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
MP000000000595712	123651Tanishq22000600221	16000	17000			2100				5200										4678							2500				10000										12345							104	124																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
MP000000000595712	123651Tanishq22000600222	17000	18000			2300				5300										4900							2500				10000										12345							105	125																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
MP000000000595713	123651Tanishq22000600230	18000	19000			3000				5500										5678							6799				12000										13456							106	126																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
MP000000000595713	123651Tanishq22000600231	18500	19500			3500				5600										6678							6799				12000										13456							107	127																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
MP000000000595713	123651Tanishq22000600232	19000	20000			4000				5700										7789							6799				12000										13456							108	128																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
MP000000000595714	123652Anjali22000600240	19500	21000			4500					5800										8900						8900					12500										14577						109	129																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
